date,type,registration,operator,fatalities,location,country,cat,year
06-Aug-99,DHC-6 Twin Otter 300,PK-NUU,Merpati Nusantara,0.0,Ilaga Airport (ILA),Indonesia,A1,1999
07-Aug-99,Dornier 228-201,D4-CBC,"Cabo Verde Coast Guard, op.for TACV",18.0,Santo AntÃ£o Island,Cape Verde,A1,1999
07-Aug-99,DHC-6 Twin Otter 300,N288SA,Seaborne Aviation,0.0,Ketchikan-Waterf...,USA,A2,1999
07-Aug-99,DHC-6 Twin Otter 300,N224SA,Seaborne Aviation,0.0,Ketchikan-Waterf...,USA,A2,1999
07-Aug-99,DC-10-10F,N68058,FedEx,0.0,Memphis Internat...,USA,A2,1999
10-Aug-99,Breguet 1150 Atlantic,91,Pakistan Navy,16.0,near Ran of Kutch,Pakistan,C1,1999
12-Aug-99,Beech 1900D,C-FLIH,Regionnair,1.0,near Sept-Ãles Airpo...,Canada,A1,1999
13-Aug-99,Cessna 208 Caravan I,N193GE,Greystoke Engineering Inc,0.0,"Hillsborough, NH",USA,A1,1999
13-Aug-99,Fokker F-28 Fellowship 1000,XY-ADU,Myanma Airways,0.0,Yangon-Mingalado...,Myanmar,A2,1999
14-Aug-99,Boeing 707-351C,ST-ANP,TAAT,0.0,Juba Airport (JUB),South Sudan,A1,1999
16-Aug-99,Swearingen SA227-AC Metro III,N2671V,Merlin Express,0.0,San Antonio Inte...,USA,A1,1999
16-Aug-99,Canadair Challenger 600,N63HJ,Hop-A-Jet Inc,0.0,Fort Lauderdale-...,USA,A1,1999
17-Aug-99,DHC-6 Twin Otter 300,9XR-KD,Alliance Air Express,0.0,Lobutu,D.R. Congo,A2,1999
17-Aug-99,Beech Hawker BH-125-600A,N454DP,DP Air,0.0,Las Vegas-McCarr...,USA,A1,1999
20-Aug-99,DHC-3T Vazar Turbine Otter,N888KA,Ketchum Air Service,0.0,"near Port Alsworth, AK",USA,A2,1999
22-Aug-99,MD-11,B-150,China Airlines,3.0,Hong Kong-Chek L...,Hong Kong,A1,1999
24-Aug-99,MD-90-30,B-17912,Uni Air,1.0,Hualien Airport ...,Taiwan,A1,1999
25-Aug-99,Boeing 737-8B6,CN-RNJ,RAM,0.0,Barcelona Airpor...,Spain,H2,1999
26-Aug-99,Yakovlev Yak-40,UK-87848,Uzbekistan Airways,2.0,near Turtkul Airport,Uzbekistan,A1,1999
27-Aug-99,Learjet 35,N90WR,FS Air Service,0.0,"Gulkana Airport,...",USA,A2,1999
28-Aug-99,DHC-6 Twin Otter,Unknown,MAF PNG,0.0,"Kopiago, Fugwa",P.N. Guinea,H2,1999
29-Aug-99,Learjet 35A,N350JF,Corporate Jets,2.0,near Adwa,Ethiopia,C1,1999
30-Aug-99,Douglas C-117D Super DC-3,RP-C473,Mabuhay Airways,0.0,Santa Rosa,Philippines,A1,1999
??-AUG-1999,Curtiss C-46D,CP-1655,SAO,0.0,La Paz-El Alto A...,Bolivia,A1,1999
05-Sep-99,BAe BAe-748-501 Srs. 2B,9N-AEG,Necon Air,15.0,near Kathmandu-Tribhu...,Nepal,A1,1999
07-Sep-99,DHC-7-102,5N-EMP,Skyline,0.0,Port Harcourt Ai...,Nigeria,A1,1999
09-Sep-99,DC-9-31,N993Z,TWA,0.0,Nashville Metrop...,USA,A1,1999
09-Sep-99,Beech 200 Super King Air,F-GIAL,Alsair,0.0,Caen-Carpiquet A...,France,A1,1999
